iter	RMSE
0	2.061174225
1	1.882635909
2	1.7249357
3	1.585300806
4	1.462429386
5	1.354490309
6	1.26031245
7	1.178543377
8	1.106957901
9	1.045338313
10	0.9923154139
11	0.9467133342
12	0.9080594047
13	0.8755454022
14	0.8485991216
15	0.8254653746
16	0.8063506412
17	0.7899849839
18	0.7761629981
19	0.7650723071
20	0.755881421
21	0.7482576785
22	0.7419341596
23	0.7369316578
24	0.7330202837
25	0.7294935086
26	0.7266106193
27	0.724135338
28	0.7221825147
29	0.7206270052
30	0.7191829753
31	0.7180129076
32	0.7169686917
33	0.71601988
34	0.7153109868
35	0.7145718695
36	0.7140542566
37	0.7135674574
38	0.7131832751
39	0.7127885952
40	0.7124571663
41	0.7121541692
42	0.7119099364
43	0.7116874432
44	0.7114296177
45	0.7113118624
46	0.7111389162
47	0.7109487437
48	0.7107111872
49	0.7105712025
50	0.7104670644
51	0.7103892484
52	0.7102842691
53	0.7102064902
54	0.7100953724
55	0.7100727182
56	0.7099673298
57	0.7099093961
58	0.7098719236
59	0.7097826882
60	0.7097078852
61	0.709687575
62	0.7096486052
63	0.7095644115
64	0.7094718264
65	0.7094273958
66	0.7093937541
67	0.7092761628
68	0.7092622254
69	0.7092101827
70	0.7091680128
71	0.7091080591
72	0.7090991645
73	0.7090659337
74	0.7090344742
75	0.7090070824
76	0.7089689938
77	0.7089541674
78	0.7089502883
79	0.7089348014
80	0.7088957756
81	0.7088383745
82	0.7087939274
83	0.7087681384
84	0.7087490796
85	0.708694995
86	0.7086735308
87	0.7086425963
88	0.7086248219
89	0.708612301
90	0.7085965134
91	0.7085920536
92	0.708586236
93	0.708573409
94	0.7085343513
95	0.7084993131
96	0.7084897364
97	0.7084561687
98	0.7084354085
99	0.7083989093
