iter	Passed	Remaining
0	90	8948
1	122	6017
2	153	4969
3	184	4437
4	215	4085
5	245	3852
6	278	3701
7	311	3579
8	354	3579
9	396	3572
10	436	3532
11	477	3498
12	516	3457
13	548	3368
14	581	3293
15	612	3218
16	644	3144
17	673	3069
18	708	3022
19	740	2960
20	771	2902
21	801	2842
22	830	2779
23	869	2754
24	930	2791
25	981	2793
26	1021	2763
27	1056	2717
28	1096	2684
29	1131	2639
30	1165	2594
31	1195	2541
32	1235	2509
33	1280	2486
34	1325	2461
35	1369	2434
36	1407	2395
37	1442	2352
38	1476	2308
39	1507	2260
40	1538	2214
41	1574	2174
42	1611	2136
43	1653	2104
44	1695	2072
45	1735	2037
46	1779	2006
47	1815	1967
48	1850	1926
49	1889	1889
50	1924	1848
51	1958	1807
52	1994	1768
53	2029	1728
54	2062	1687
55	2097	1648
56	2133	1609
57	2166	1569
58	2203	1531
59	2236	1490
60	2269	1450
61	2300	1410
62	2333	1370
63	2365	1330
64	2395	1289
65	2427	1250
66	2467	1215
67	2498	1175
68	2526	1135
69	2557	1095
70	2588	1057
71	2617	1017
72	2639	976
73	2667	937
74	2700	900
75	2732	862
76	2764	825
77	2795	788
78	2828	751
79	2859	714
80	2889	677
81	2927	642
82	2955	605
83	2986	568
84	3020	532
85	3049	496
86	3079	460
87	3109	423
88	3137	387
89	3168	352
90	3200	316
91	3232	281
92	3261	245
93	3294	210
94	3335	175
95	3368	140
96	3402	105
97	3437	70
98	3469	35
99	3501	0
