label,preprocessed,EventTime,People,Organisation,Location
0,Lowestoft sea wall fall cyclist rescued friend,78 days 20:24:48.518526000,set(),"{River, Lowestoft, Cross}",set()
1,Game Thrones writers love clumsy fool characters big dumb gestures,78 days 20:24:15.518526000,set(),set(),set()
2,Crowned Burger King meat replacement company Impossible Foods raises million,78 days 20:24:04.518526000,set(),set(),set()
3,Shades McFadden David Turnbull scoops SFWA young player year award,78 days 20:23:50.518526000,"{Liam, Hastie, Maher, Jake, SFWA, Turnbull, David, Gerrard, Rice, Steven, Pogba, Coutinho, Brendan, Hazard, Rebels, Lacazette, Sheedy}","{Cork, Tipperary}",set()
4,City seal domestic dominance FA Cup final Fergie treble better,78 days 20:23:28.518526000,"{Moses, ASVEL, FA, Cup, Parker, Fulham, Billy, Scott, Vunipola, Villeurbanne, Fergie}","{England, Rugby, World, Clinical, Hammers, Cup, Watford, West, Ham}",set()
5,Islington murder Man arrested body found wheelie bin near Waitrose supermarket,78 days 20:23:11.518526000,"{bin, Waitrose}",set(),"{Manhattan, Dallas}"
6,Hayley Tamaddon ENGAGED boyfriend Adrian weeks announcing pregnancy,78 days 20:22:59.518526000,"{Robertson, Tamaddon, Adrian, Engelson, Iain, Markle, Trevor, Meghan}",set(),set()
7,Chris Hughton Celtic odds slashed ruthless Brighton sacking,78 days 20:22:24.518526000,"{Joe, Gascoigne, Gerrard, Paul, Hughton, Benitez, Mike, Chris, Hughton, Hughton, Chris, Rafa, Chris, Ashley, Wes, Flacco, Steven, Brighton, Foderingham}","{Flacco, Broncos}",{Brighton}
8,Rachel Roddy recipe pork braised milk,78 days 20:22:09.518526000,"{Rachel, Roddy, Pascoe}","{Prawn, Coconut}",{Singapore}
9,EU election poll Tories FIFTH place MP admits mauling,78 days 20:22:01.518526000,"{LIVESTREAM, FIFTH, Theresa, Pornhub, Conservatives}","{EU, Brexit}",set()
10,Maduro foes fill embassies Venezuela crisis deepens,78 days 20:22:01.518526000,set(),"{Venezuela, Maduro}","{Caracas, Venezuela}"
11,Leslie Jones played Meghan Markle cousin Saturday Night Live skit royal etiquette,78 days 20:20:10.518526000,"{Jeremy, James, Collins, Redknapp, Jamie, Leslie, Lisa, Meghan, Kyle, Jones, Elsa, Dingle, Jeremy, Markle, Doris, Fala, Elsa, Kyle, Gemma, Danniella, Chen, Day, Patton}",set(),{Miami}
12,Tirs devant le QG de soudanaise un militaire et un manifestant tués,78 days 20:20:10.518526000,"{de, mot, Dzerzhinsk, Africains, Soudan, de, vos, Monica, Bellucci, Sophie, au, Turner, Bal, apprend, ce, Dior, offre, La, Le}","{Produits, beauté, de, quelle}","{activités, Les, Montréal, Burkina, Montréal}"
13,Liverpool vs Wolves LIVE SCORE TV channel live stream kick time team news Premier League title clash,78 days 20:20:02.518526000,set(),"{Team, TV, Burnley, TV, news, Tottenham, League, Channel, news, LIVE, England, Getafe, Premier, news, Man, League, channel, League, TV, Ham, Isufi, Team, Team, Juventus, Barcelona, Premier, TV, Fulham, Club, Arsenal, Getafe, TV, TV, Revolution, TV, LIVE, Roma, Premier, League, West, Team, LIVE, news, TV, TV, Newport, League, Football, Burnley, Cardiff, Barcelona, Watford, England, Cardiff, Everton, League, news, Premier, Premier, Audio, Arsenal, Brighton, TV, Team, ODI, New, Utd, League, Pakistan, Utd}","{Cardiff, UK, Bristol, City}"
14,Analysis European elections point way second referendum,78 days 20:19:58.518526000,set(),"{Party, Liberal, Analysis, Abra}",set()
15,Serving,78 days 20:19:14.518526000,set(),set(),set()
16,Alesha MacPhail devastated mum wants look killer Aaron Campbell eye ask raped killed girl,78 days 20:18:50.518526000,"{MacPhail, Aaron, Alesha}","{House, White}",{Hungary}
17,Meghan Harry post new baby photo mark Mother Day,78 days 20:18:40.518526000,"{Angelou, Maya, KITH, Harry, Ramsay, Gordon, Meghan}",set(),set()
18,Monday UK weather forecast Sunny feeling warm turning chilly evening,78 days 20:18:29.518526000,"{Stretch, Dry, Sunny, Sunny, Forecast, NBC}","{NBC, Forecast, Easter, Dad, Dry, Vancouver, Mix}","{UK, UK, London, London}"
19,wo stop fundraising churches DP Ruto vows,78 days 20:17:23.518526000,"{Buttigieg, Pete}",set(),{Bogor}
20,Garden Bridge concerns raised City Hall Boris cash bid,78 days 20:16:58.518526000,set(),"{Rangers, Ibrox}",set()
21,Marcelo Bielsa Leeds United boss says Liverpool Tottenham Champions League comebacks warning,78 days 20:16:38.518526000,"{Marcelo, Bielsa}","{Champions, Uefa, Tottenham, Emery, Liverpool, Unai, United, Arsenal, League}",{Leeds}
22,fantastic Lin Dan winning says ex Olympic champ Hoyer,78 days 20:16:35.518526000,"{Ander, Utd, Dan, Lin, Pogba, Paul, Herrera, Hoyer}",set(),set()
23,Proud dad Diddy hits red carpet daughters ex Kim Porter death,78 days 20:16:15.518526000,"{Davies, Burns, Piquet, Scott, Russell, Kvyat, Tommy, Kelly, Daniil, Brown, Hours}",set(),set()
24,superstar Alex Morgan stuns Sports Illustrated Swimsuit Edition bikini shoot,78 days 20:16:07.518526000,"{Morgan, Beckham, Alex, Victoria}",set(),set()
25,Fulham Newcastle Jonjo Shelvey hits goal season Ayoze Perez continues fine form relegated Cottagers thrashed final day,78 days 20:16:04.518526000,"{Cottagers, Callies, Perez, Japan, Baku, ODI, Bairstow, Jonny, Aston, Serena, Grealish, Jack}","{Ibrox, Villa, Celtic, IBF, Mthalane, Pierre, Moruti, Brom, West, Fulham}",set()
26,Bonkers,78 days 20:16:03.518526000,"{Andy, Bun, Hui}",set(),set()
27,guarantee recall Roughead says Clarkson,78 days 20:15:43.518526000,"{Briefing, Flash, Clarkson, Roughead}",{Vodacom},set()
28,Tesco axe items shelves bid win customers Lidl Aldi,78 days 20:15:13.518526000,set(),{Tesco},{Tesco}
29,Thyme Pork Chops recipe,78 days 20:13:58.518526000,set(),set(),set()
30,Digital native Chinese beauty brands tapped market Western retailers reach social media influencers sell cosmetics young consumers,78 days 20:13:58.518526000,set(),set(),set()
31,Presence capable future leader hints possible revival exhausted party,78 days 20:13:58.518526000,set(),set(),set()
32,Noel Gallagher reveals Manchester City playmaker Bernardo Silva Player Season,78 days 20:13:16.518526000,"{Gallagher, Noel, Silva, Bernardo, Aston, Chelsea, Villa}",set(),{Manchester}
33,need spending constraint parties enter home straight,78 days 20:13:12.518526000,set(),set(),set()
34,Jews urge Pope Francis care Pharisees talk,78 days 20:13:04.518526000,"{Francis, Eve, Baftas}",set(),set()
35,Kyline emosyonal sa pagtatapos ng teleserye sa GMA,78 days 20:12:58.518526000,"{Dahil, SA, Batanes, Matteo, Kyline, Pinara, Halalanhugot, Gretchen}","{BUMOTO, Cannes, TAMA, NANG, PARA}",set()
36,North Yorkshire girl dies taking ecstasy,78 days 20:12:52.518526000,"{Jeremiah, Kiereini}",{Shopify},"{North, Yorkshire, Japan}"
37,Premier League final day LIVE Liverpool Man City battle title,78 days 20:12:43.518526000,set(),"{Utd, Arsenal, Premier, EPL, League, FREE, LIVE, KICKS, Man, City, League, Champions, Champions, Premier, League, League, Man, Arsenal, LIVE}",set()
38,SDGs,78 days 20:12:16.518526000,"{Lla, Ea, Hugpong, Pimentel, Koko, Pimentel, SAFA}","{Vodafone, NZ, Brookfield, Vodafone, NZ, Brookfield, QR, Brookside, Boracay, Paymaya}",set()
39,North South Korean musicians unite China rare joint performance,78 days 20:11:59.518526000,"{Doug, Ford}",set(),"{North, Ontario, Orkney, China, China, Korean, South}"
40,Northwest Syria clashes kill fighters destroy health services defiance buffer zone monitor,78 days 20:11:59.518526000,"{Hunt, Jeremy}",set(),"{Iran, Syria, Turkey, Northwest}"
41,Trolls fired Bassett Giant victory says skipper Green,78 days 20:11:42.518526000,"{Shelley, Kerr}","{Giant, Bassett, Scotland}",set()
42,Going digital save lives,78 days 20:11:29.518526000,set(),set(),set()
43,expanded swim program fashion week Suits,78 days 20:11:28.518526000,set(),set(),set()
44,Cycling Podcast Giro Stage Bologna Fucecchio,78 days 20:10:58.518526000,set(),set(),"{Luca, San, Bologna}"
45,Ernst deny Chiefs disaster,78 days 20:10:45.518526000,set(),"{Ernst, Borno, NSCDC, District, Council, City, Pittsburgh}",set()
46,Bridge,78 days 20:09:54.518526000,set(),set(),set()
47,Evil Patrick Quirke uses prison visits wife bark detailed instructions run family farm,78 days 20:09:46.518526000,"{Patrick, Quirke}",set(),set()
48,DPWH FVR Megadike Pampanga intact safe April quake,78 days 20:09:25.518526000,"{Zlatan, Naira, Marley}","{Gracia, Pampanga, Launches, Megadike}",set()
49,Pep sleep like little boy,78 days 20:09:13.518526000,set(),{Logitech},set()
50,Food Truck Festival returning Streator,78 days 20:09:04.518526000,set(),"{Festival, Truck, Greggs, Food, Easter}",set()
51,Patrick Lam Discusses Search Complexity Simplicity,78 days 20:08:47.518526000,"{Sandero, Lam, Patrick}",{Dacia},set()
